;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 2/12/2016 2:51:35 PM
;----------------------------------------------

;Address Opcode 	ASM
0x0194	0x00FD      	MOVWF      R13
L_girarDerecha2:
0x0195	0x0BFD      	DECFSZ     R13, 1
0x0196	0x2995      	GOTO       L_girarDerecha2
0x0197	0x0BFC      	DECFSZ     R12, 1
0x0198	0x2995      	GOTO       L_girarDerecha2
0x0199	0x0BFB      	DECFSZ     R11, 1
0x019A	0x2995      	GOTO       L_girarDerecha2
0x019B	0x0000      	NOP
;auto.c,108 :: 		RC1_bit = 0;
0x019C	0x1087      	BCF        RC1_bit, 1
;auto.c,109 :: 		RC2_bit = 0;
0x019D	0x1107      	BCF        RC2_bit, 2
;auto.c,110 :: 		RC7_bit = 0;
0x019E	0x1387      	BCF        RC7_bit, 7
;auto.c,111 :: 		RC6_bit = 0;
0x019F	0x1307      	BCF        RC6_bit, 6
;auto.c,112 :: 		}
0x01A0	0x0008      	RETURN
; end of _girarDerecha
_girarIzquierda:
;auto.c,114 :: 		void girarIzquierda(){
;auto.c,115 :: 		RC1_bit = 0;
0x01A1	0x1283      	BCF        STATUS, 5
0x01A2	0x1303      	BCF        STATUS, 6
0x01A3	0x1087      	BCF        RC1_bit, 1
;auto.c,116 :: 		RC2_bit = 1;
0x01A4	0x1507      	BSF        RC2_bit, 2
;auto.c,117 :: 		RC5_bit = 0;
0x01A5	0x1287      	BCF        RC5_bit, 5
;auto.c,118 :: 		RC4_bit = 0;
0x01A6	0x1207      	BCF        RC4_bit, 4
;auto.c,119 :: 		Delay_ms(2000);               /* 2 segundos de giro */
0x01A7	0x3015      	MOVLW      21
0x01A8	0x00FB      	MOVWF      R11
0x01A9	0x304B      	MOVLW      75
0x01AA	0x00FC      	MOVWF      R12
0x01AB	0x30BE      	MOVLW      190
0x01AC	0x00FD      	MOVWF      R13
L_girarIzquierda3:
0x01AD	0x0BFD      	DECFSZ     R13, 1
0x01AE	0x29AD      	GOTO       L_girarIzquierda3
0x01AF	0x0BFC      	DECFSZ     R12, 1
0x01B0	0x29AD      	GOTO       L_girarIzquierda3
0x01B1	0x0BFB      	DECFSZ     R11, 1
0x01B2	0x29AD      	GOTO       L_girarIzquierda3
0x01B3	0x0000      	NOP
;auto.c,121 :: 		RC1_bit = 0;
0x01B4	0x1087      	BCF        RC1_bit, 1
;auto.c,122 :: 		RC2_bit = 0;
0x01B5	0x1107      	BCF        RC2_bit, 2
;auto.c,123 :: 		RC7_bit = 0;
0x01B6	0x1387      	BCF        RC7_bit, 7
;auto.c,124 :: 		RC6_bit = 0;
0x01B7	0x1307      	BCF        RC6_bit, 6
;auto.c,125 :: 		}
0x01B8	0x0008      	RETURN
; end of _girarIzquierda
_moverAtras:
;auto.c,128 :: 		void moverAtras(){
;auto.c,129 :: 		RC1_bit = 0;
0x01B9	0x1283      	BCF        STATUS, 5
0x01BA	0x1303      	BCF        STATUS, 6
0x01BB	0x1087      	BCF        RC1_bit, 1
;auto.c,130 :: 		RC2_bit = 0;
0x01BC	0x1107      	BCF        RC2_bit, 2
;auto.c,131 :: 		RC5_bit = 1;
0x01BD	0x1687      	BSF        RC5_bit, 5
;auto.c,132 :: 		RC4_bit = 1;
0x01BE	0x1607      	BSF        RC4_bit, 4
;auto.c,133 :: 		}
0x01BF	0x0008      	RETURN
; end of _moverAtras
_pararVehiculo:
;auto.c,92 :: 		void pararVehiculo(){
;auto.c,93 :: 		RC1_bit = 0;
0x01C0	0x1283      	BCF        STATUS, 5
0x01C1	0x1303      	BCF        STATUS, 6
0x01C2	0x1087      	BCF        RC1_bit, 1
;auto.c,94 :: 		RC2_bit = 0;
0x01C3	0x1107      	BCF        RC2_bit, 2
;auto.c,95 :: 		RC7_bit = 0;
0x01C4	0x1387      	BCF        RC7_bit, 7
;auto.c,96 :: 		RC6_bit = 0;
0x01C5	0x1307      	BCF        RC6_bit, 6
;auto.c,97 :: 		}
0x01C6	0x0008      	RETURN
; end of _pararVehiculo
_waitSignal:
;auto.c,70 :: 		void waitSignal(){
;auto.c,71 :: 		TMR1H = 0;          // Clear Timer1
0x01C7	0x1283      	BCF        STATUS, 5
0x01C8	0x1303      	BCF        STATUS, 6
0x01C9	0x018F      	CLRF       TMR1H
;auto.c,72 :: 		TMR1L = 0;
0x01CA	0x018E      	CLRF       TMR1L
;auto.c,73 :: 		if(Echo == 0){
0x01CB	0x1B06      	BTFSC      PORTB, 6
0x01CC	0x29D9      	GOTO       L_waitSignal0
;auto.c,74 :: 		Trig = 0;
0x01CD	0x1005      	BCF        PORTA, 0
;auto.c,75 :: 		Delay_us(2);
0x01CE	0x0000      	NOP
0x01CF	0x0000      	NOP
0x01D0	0x0000      	NOP
0x01D1	0x0000      	NOP
;auto.c,76 :: 		Trig = 1;
0x01D2	0x1405      	BSF        PORTA, 0
;auto.c,77 :: 		Delay_us(10); // Send LOW-to-HIGH Pulse of 10us to Ultrasonic
0x01D3	0x3006      	MOVLW      6
0x01D4	0x00FD      	MOVWF      R13
L_waitSignal1:
0x01D5	0x0BFD      	DECFSZ     R13, 1
0x01D6	0x29D5      	GOTO       L_waitSignal1
0x01D7	0x0000      	NOP
;auto.c,78 :: 		Trig = 0;
0x01D8	0x1005      	BCF        PORTA, 0
;auto.c,79 :: 		}
L_waitSignal0:
;auto.c,80 :: 		}
0x01D9	0x0008      	RETURN
; end of _waitSignal
_cargarDato:
;auto.c,142 :: 		void cargarDato(){
;auto.c,143 :: 		if (UART1_Data_Ready())     // If data is received,
0x01DA	0x2126      	CALL       _UART1_Data_Ready
0x01DB	0x0870      	MOVF       R0, 0
0x01DC	0x1903      	BTFSC      STATUS, 2
0x01DD	0x29E1      	GOTO       L_cargarDato5
;auto.c,144 :: 		uart_rd_temp = UART1_Read();     // leer el dato recibido del celular
0x01DE	0x212D      	CALL       _UART1_Read
0x01DF	0x0870      	MOVF       R0, 0
0x01E0	0x00EC      	MOVWF      _uart_rd_temp
L_cargarDato5:
;auto.c,146 :: 		}
0x01E1	0x0008      	RETURN
; end of _cargarDato
_moverEnAutomatico:
;auto.c,184 :: 		void moverEnAutomatico(){
;auto.c,185 :: 		uart_rd_temp = ' ';
0x01E2	0x3020      	MOVLW      32
0x01E3	0x1283      	BCF        STATUS, 5
0x01E4	0x1303      	BCF        STATUS, 6
0x01E5	0x00EC      	MOVWF      _uart_rd_temp
;auto.c,186 :: 		bandera_automatico = 1;       /* Con esta bandera se valida en la interrupcion que hacer cuando ocurre un choque. */
0x01E6	0x3001      	MOVLW      1
0x01E7	0x00A6      	MOVWF      _bandera_automatico
0x01E8	0x3000      	MOVLW      0
0x01E9	0x00A7      	MOVWF      _bandera_automatico+1
;auto.c,187 :: 		Lcd_Cmd(_LCD_CLEAR);
0x01EA	0x3001      	MOVLW      1
0x01EB	0x1683      	BSF        STATUS, 5
0x01EC	0x00C7      	MOVWF      FARG_Lcd_Cmd_out_char
0x01ED	0x20C6      	CALL       _Lcd_Cmd
;auto.c,188 :: 		Lcd_Out(2,6,txtAutomatic);
0x01EE	0x3002      	MOVLW      2
0x01EF	0x1683      	BSF        STATUS, 5
0x01F0	0x00C2      	MOVWF      FARG_Lcd_Out_row
0x01F1	0x3006      	MOVLW      6
0x01F2	0x00C3      	MOVWF      FARG_Lcd_Out_column
0x01F3	0x30B4      	MOVLW      _txtAutomatic
0x01F4	0x00C4      	MOVWF      FARG_Lcd_Out_text
0x01F5	0x2138      	CALL       _Lcd_Out
;auto.c,190 :: 		RC1_bit = 1;
0x01F6	0x1487      	BSF        RC1_bit, 1
;auto.c,191 :: 		RC2_bit = 1;
0x01F7	0x1507      	BSF        RC2_bit, 2
;auto.c,192 :: 		RC5_bit = 0;
0x01F8	0x1287      	BCF        RC5_bit, 5
;auto.c,193 :: 		RC4_bit = 0;
0x01F9	0x1207      	BCF        RC4_bit, 4
;auto.c,194 :: 		cargarDato();
0x01FA	0x21DA      	CALL       _cargarDato
;auto.c,195 :: 		while (uart_rd_temp != 'e') { /* Si se le envía e se sale de modo automatico. */
L_moverEnAutomatico24:
0x01FB	0x086C      	MOVF       _uart_rd_temp, 0
0x01FC	0x3A65      	XORLW      101
0x01FD	0x1903      	BTFSC      STATUS, 2
0x01FE	0x2A16      	GOTO       L_moverEnAutomatico25
;auto.c,196 :: 		waitSignal();
0x01FF	0x21C7      	CALL       _waitSignal
;auto.c,197 :: 		cargarDato();
0x0200	0x21DA      	CALL       _cargarDato
;auto.c,200 :: 		if(uart_rd_temp == 'e')
0x0201	0x086C      	MOVF       _uart_rd_temp, 0
0x0202	0x3A65      	XORLW      101
0x0203	0x1D03      	BTFSS      STATUS, 2
0x0204	0x2A15      	GOTO       L_moverEnAutomatico26
;auto.c,202 :: 		Lcd_Cmd(_LCD_CLEAR);
0x0205	0x3001      	MOVLW      1
0x0206	0x1683      	BSF        STATUS, 5
0x0207	0x00C7      	MOVWF      FARG_Lcd_Cmd_out_char
0x0208	0x20C6      	CALL       _Lcd_Cmd
;auto.c,203 :: 		Lcd_Out(2,6,"Se paro el vehiculo");
0x0209	0x3002      	MOVLW      2
0x020A	0x1683      	BSF        STATUS, 5
0x020B	0x00C2      	MOVWF      FARG_Lcd_Out_row
0x020C	0x3006      	MOVLW      6
0x020D	0x00C3      	MOVWF      FARG_Lcd_Out_column
0x020E	0x30A0      	MOVLW      ?lstr2_auto
0x020F	0x00C4      	MOVWF      FARG_Lcd_Out_text
0x0210	0x2138      	CALL       _Lcd_Out
;auto.c,204 :: 		RC1_bit = 0;
0x0211	0x1087      	BCF        RC1_bit, 1
;auto.c,205 :: 		RC2_bit = 0;
0x0212	0x1107      	BCF        RC2_bit, 2
;auto.c,206 :: 		RC5_bit = 0;
0x0213	0x1287      	BCF        RC5_bit, 5
;auto.c,207 :: 		RC4_bit = 0;
0x0214	0x1207      	BCF        RC4_bit, 4
;auto.c,208 :: 		}
L_moverEnAutomatico26:
;auto.c,210 :: 		}
0x0215	0x29FB      	GOTO       L_moverEnAutomatico24
L_moverEnAutomatico25:
;auto.c,211 :: 		pararVehiculo();
0x0216	0x21C0      	CALL       _pararVehiculo
;auto.c,212 :: 		bandera_automatico = 0;       /* al enviar e se sale de modo automatico.*/
0x0217	0x01A6      	CLRF       _bandera_automatico
0x0218	0x01A7      	CLRF       _bandera_automatico+1
;auto.c,213 :: 		}
0x0219	0x0008      	RETURN
; end of _moverEnAutomatico
_UART1_Init:
;__Lib_UART_c67.c,2 :: 		
;__Lib_UART_c67.c,5 :: 		
0x021A	0x1683      	BSF        STATUS, 5
0x021B	0x1303      	BCF        STATUS, 6
0x021C	0x1698      	BSF        TXSTA, 5
;__Lib_UART_c67.c,6 :: 		
0x021D	0x3090      	MOVLW      144
0x021E	0x1283      	BCF        STATUS, 5
0x021F	0x0098      	MOVWF      RCSTA
;__Lib_UART_c67.c,7 :: 		
0x0220	0x1683      	BSF        STATUS, 5
0x0221	0x1787      	BSF        TRISC7_bit, BitPos(TRISC7_bit+0)
;__Lib_UART_c67.c,8 :: 		
0x0222	0x1307      	BCF        TRISC6_bit, BitPos(TRISC6_bit+0)
;__Lib_UART_c67.c,10 :: 		
L_UART1_Init0:
0x0223	0x1283      	BCF        STATUS, 5
0x0224	0x1E8C      	BTFSS      PIR1, 5
0x0225	0x2A29      	GOTO       L_UART1_Init1
;__Lib_UART_c67.c,11 :: 		
0x0226	0x081A      	MOVF       RCREG, 0
0x0227	0x00F0      	MOVWF      R0
0x0228	0x2A23      	GOTO       L_UART1_Init0
L_UART1_Init1:
;__Lib_UART_c67.c,12 :: 		
L_end_UART1_Init:
0x0229	0x0008      	RETURN
; end of _UART1_Init
_setupTimer1:
;auto.c,58 :: 		void setupTimer1(){
;auto.c,61 :: 		T1CON = 0b00100000;
0x022A	0x3020      	MOVLW      32
0x022B	0x1283      	BCF        STATUS, 5
0x022C	0x1303      	BCF        STATUS, 6
0x022D	0x0090      	MOVWF      T1CON
;auto.c,62 :: 		INTCON.GIE = 1;
0x022E	0x178B      	BSF        INTCON, 7
;auto.c,63 :: 		INTCON.PEIE = 1;
0x022F	0x170B      	BSF        INTCON, 6
;auto.c,64 :: 		INTCON.RBIE = 1;
0x0230	0x158B      	BSF        INTCON, 3
;auto.c,65 :: 		INTCON.RBIF = 0;
0x0231	0x100B      	BCF        INTCON, 0
;auto.c,68 :: 		IOCB.IOCB6 = 1;
0x0232	0x1683      	BSF        STATUS, 5
0x0233	0x1716      	BSF        IOCB, 6
;auto.c,69 :: 		}
0x0234	0x0008      	RETURN
; end of _setupTimer1
_Lcd_Init:
;__Lib_Lcd.c,84 :: 		
;__Lib_Lcd.c,86 :: 		
0x0235	0x1683      	BSF        STATUS, 5
0x0236	0x1303      	BCF        STATUS, 6
0x0237	0x1286      	BCF        LCD_EN_Direction, BitPos(LCD_EN_Direction+0)
;__Lib_Lcd.c,87 :: 		
0x0238	0x1206      	BCF        LCD_RS_Direction, BitPos(LCD_RS_Direction+0)
;__Lib_Lcd.c,88 :: 		
0x0239	0x1006      	BCF        LCD_D4_Direction, BitPos(LCD_D4_Direction+0)
;__Lib_Lcd.c,89 :: 		
0x023A	0x1086      	BCF        LCD_D5_Direction, BitPos(LCD_D5_Direction+0)
;__Lib_Lcd.c,90 :: 		
0x023B	0x1106      	BCF        LCD_D6_Direction, BitPos(LCD_D6_Direction+0)
;__Lib_Lcd.c,91 :: 		
0x023C	0x1186      	BCF        LCD_D7_Direction, BitPos(LCD_D7_Direction+0)
;__Lib_Lcd.c,93 :: 		
0x023D	0x1283      	BCF        STATUS, 5
0x023E	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,94 :: 		
0x023F	0x1206      	BCF        LCD_RS, BitPos(LCD_RS+0)
;__Lib_Lcd.c,95 :: 		
0x0240	0x1186      	BCF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,96 :: 		
0x0241	0x1106      	BCF        LCD_D6, BitPos(LCD_D6+0)
;__Lib_Lcd.c,97 :: 		
0x0242	0x1086      	BCF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,98 :: 		
0x0243	0x1006      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,100 :: 		
0x0244	0x20B2      	CALL       _Delay_5500us
;__Lib_Lcd.c,101 :: 		
0x0245	0x20B2      	CALL       _Delay_5500us
;__Lib_Lcd.c,102 :: 		
0x0246	0x20B2      	CALL       _Delay_5500us
;__Lib_Lcd.c,105 :: 		
0x0247	0x1486      	BSF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,106 :: 		
0x0248	0x1406      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,107 :: 		
0x0249	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,108 :: 		
0x024A	0x20AF      	CALL       _Delay_1us
;__Lib_Lcd.c,109 :: 		
0x024B	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,110 :: 		
0x024C	0x20B2      	CALL       _Delay_5500us
;__Lib_Lcd.c,112 :: 		
0x024D	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,113 :: 		
0x024E	0x20AF      	CALL       _Delay_1us
;__Lib_Lcd.c,114 :: 		
0x024F	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,115 :: 		
0x0250	0x20B2      	CALL       _Delay_5500us
;__Lib_Lcd.c,117 :: 		
0x0251	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,118 :: 		
0x0252	0x20AF      	CALL       _Delay_1us
;__Lib_Lcd.c,119 :: 		
0x0253	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,120 :: 		
0x0254	0x20B2      	CALL       _Delay_5500us
;__Lib_Lcd.c,123 :: 		
0x0255	0x1006      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,124 :: 		
0x0256	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,125 :: 		
0x0257	0x20AF      	CALL       _Delay_1us
;__Lib_Lcd.c,126 :: 		
0x0258	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,127 :: 		
0x0259	0x20B2      	CALL       _Delay_5500us
;__Lib_Lcd.c,130 :: 		
0x025A	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,131 :: 		
0x025B	0x20AF      	CALL       _Delay_1us
;__Lib_Lcd.c,132 :: 		
0x025C	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,134 :: 		
0x025D	0x1086      	BCF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,135 :: 		
0x025E	0x1586      	BSF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,136 :: 		
0x025F	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,137 :: 		
0x0260	0x20AF      	CALL       _Delay_1us
;__Lib_Lcd.c,138 :: 		
0x0261	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,139 :: 		
0x0262	0x20B2      	CALL       _Delay_5500us
;__Lib_Lcd.c,142 :: 		
0x0263	0x1186      	BCF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,143 :: 		
0x0264	0x1406      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,144 :: 		
0x0265	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,145 :: 		
0x0266	0x20AF      	CALL       _Delay_1us
;__Lib_Lcd.c,146 :: 		
0x0267	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,148 :: 		
0x0268	0x1006      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,149 :: 		
0x0269	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,150 :: 		
0x026A	0x20AF      	CALL       _Delay_1us
;__Lib_Lcd.c,151 :: 		
0x026B	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,152 :: 		
0x026C	0x20B2      	CALL       _Delay_5500us
;__Lib_Lcd.c,155 :: 		
0x026D	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,156 :: 		
0x026E	0x20AF      	CALL       _Delay_1us
;__Lib_Lcd.c,157 :: 		
0x026F	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,159 :: 		
0x0270	0x1406      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,160 :: 		
0x0271	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,161 :: 		
0x0272	0x20AF      	CALL       _Delay_1us
;__Lib_Lcd.c,162 :: 		
0x0273	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,163 :: 		
0x0274	0x20B2      	CALL       _Delay_5500us
;__Lib_Lcd.c,166 :: 		
0x0275	0x1006      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,167 :: 		
0x0276	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,168 :: 		
0x0277	0x20AF      	CALL       _Delay_1us
;__Lib_Lcd.c,169 :: 		
0x0278	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,171 :: 		
0x0279	0x1586      	BSF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,172 :: 		
0x027A	0x1506      	BSF        LCD_D6, BitPos(LCD_D6+0)
;__Lib_Lcd.c,173 :: 		
0x027B	0x1486      	BSF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,174 :: 		
0x027C	0x1406      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,175 :: 		
0x027D	0x1686      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,176 :: 		
0x027E	0x20AF      	CALL       _Delay_1us
;__Lib_Lcd.c,177 :: 		
0x027F	0x1286      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,179 :: 		
0x0280	0x20B2      	CALL       _Delay_5500us
;__Lib_Lcd.c,181 :: 		
0x0281	0x146F      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,182 :: 		
L_end_Lcd_Init:
0x0282	0x0008      	RETURN
; end of _Lcd_Init
_moverManual:
;auto.c,147 :: 		void moverManual(){
;auto.c,148 :: 		uart_rd_temp = ' ';
0x0283	0x3020      	MOVLW      32
0x0284	0x1283      	BCF        STATUS, 5
0x0285	0x1303      	BCF        STATUS, 6
0x0286	0x00EC      	MOVWF      _uart_rd_temp
;auto.c,149 :: 		cargarDato();
0x0287	0x21DA      	CALL       _cargarDato
;auto.c,150 :: 		bandera_automatico = 0;       /* Se limpia la bandera de automatico por si acaso. */
0x0288	0x01A6      	CLRF       _bandera_automatico
0x0289	0x01A7      	CLRF       _bandera_automatico+1
;auto.c,151 :: 		while (uart_rd_temp != 'e') { /* Si se le envía e se sale de modo manual */
L_moverManual6:
0x028A	0x086C      	MOVF       _uart_rd_temp, 0
0x028B	0x3A65      	XORLW      101
0x028C	0x1903      	BTFSC      STATUS, 2
0x028D	0x2ADA      	GOTO       L_moverManual7
;auto.c,153 :: 		waitSignal();
0x028E	0x21C7      	CALL       _waitSignal
;auto.c,154 :: 		cargarDato();                                   /* se verifica si se tiene que cambiar o no la variable uart_rd_temp */
0x028F	0x21DA      	CALL       _cargarDato
;auto.c,155 :: 		if (uart_rd_temp == 'u' && bandera_mover) { /* Up: En la interrupción para el auto */
0x0290	0x086C      	MOVF       _uart_rd_temp, 0
0x0291	0x3A75      	XORLW      117
0x0292	0x1D03      	BTFSS      STATUS, 2
0x0293	0x2AA2      	GOTO       L_moverManual10
0x0294	0x0828      	MOVF       _bandera_mover, 0
0x0295	0x0429      	IORWF      _bandera_mover+1, 0
0x0296	0x1903      	BTFSC      STATUS, 2
0x0297	0x2AA2      	GOTO       L_moverManual10
L__moverManual52:
;auto.c,156 :: 		Lcd_Out(2,6,txtArriba);
0x0298	0x3002      	MOVLW      2
0x0299	0x1683      	BSF        STATUS, 5
0x029A	0x00C2      	MOVWF      FARG_Lcd_Out_row
0x029B	0x3006      	MOVLW      6
0x029C	0x00C3      	MOVWF      FARG_Lcd_Out_column
0x029D	0x3030      	MOVLW      _txtArriba
0x029E	0x00C4      	MOVWF      FARG_Lcd_Out_text
0x029F	0x2138      	CALL       _Lcd_Out
;auto.c,157 :: 		avanzarVehiculo();
0x02A0	0x2182      	CALL       _avanzarVehiculo
;auto.c,158 :: 		}
0x02A1	0x2AD9      	GOTO       L_moverManual11
L_moverManual10:
;auto.c,159 :: 		else if (uart_rd_temp == 'd' && bandera_mover) { /* Down:  */
0x02A2	0x086C      	MOVF       _uart_rd_temp, 0
0x02A3	0x3A64      	XORLW      100
0x02A4	0x1D03      	BTFSS      STATUS, 2
0x02A5	0x2AB4      	GOTO       L_moverManual14
0x02A6	0x0828      	MOVF       _bandera_mover, 0
0x02A7	0x0429      	IORWF      _bandera_mover+1, 0
0x02A8	0x1903      	BTFSC      STATUS, 2
0x02A9	0x2AB4      	GOTO       L_moverManual14
L__moverManual51:
;auto.c,160 :: 		Lcd_Out(2,6,txtAbajo);
0x02AA	0x3002      	MOVLW      2
0x02AB	0x1683      	BSF        STATUS, 5
0x02AC	0x00C2      	MOVWF      FARG_Lcd_Out_row
0x02AD	0x3006      	MOVLW      6
0x02AE	0x00C3      	MOVWF      FARG_Lcd_Out_column
0x02AF	0x302A      	MOVLW      _txtAbajo
0x02B0	0x00C4      	MOVWF      FARG_Lcd_Out_text
0x02B1	0x2138      	CALL       _Lcd_Out
;auto.c,161 :: 		moverAtras();
0x02B2	0x21B9      	CALL       _moverAtras
;auto.c,162 :: 		}
0x02B3	0x2AD9      	GOTO       L_moverManual15
L_moverManual14:
;auto.c,163 :: 		else if (uart_rd_temp == 'l' && bandera_mover) { /* left:  */
0x02B4	0x086C      	MOVF       _uart_rd_temp, 0
0x02B5	0x3A6C      	XORLW      108
0x02B6	0x1D03      	BTFSS      STATUS, 2
0x02B7	0x2AC7      	GOTO       L_moverManual18
0x02B8	0x0828      	MOVF       _bandera_mover, 0
0x02B9	0x0429      	IORWF      _bandera_mover+1, 0
0x02BA	0x1903      	BTFSC      STATUS, 2
0x02BB	0x2AC7      	GOTO       L_moverManual18
L__moverManual50:
;auto.c,164 :: 		Lcd_Out(2,6,txtAbajo);
0x02BC	0x3002      	MOVLW      2
0x02BD	0x1683      	BSF        STATUS, 5
0x02BE	0x00C2      	MOVWF      FARG_Lcd_Out_row
0x02BF	0x3006      	MOVLW      6
0x02C0	0x00C3      	MOVWF      FARG_Lcd_Out_column
0x02C1	0x302A      	MOVLW      _txtAbajo
0x02C2	0x00C4      	MOVWF      FARG_Lcd_Out_text
0x02C3	0x2138      	CALL       _Lcd_Out
;auto.c,165 :: 		girarIzquierda();
0x02C4	0x21A1      	CALL       _girarIzquierda
;auto.c,166 :: 		avanzarVehiculo();
0x02C5	0x2182      	CALL       _avanzarVehiculo
;auto.c,167 :: 		}
0x02C6	0x2AD9      	GOTO       L_moverManual19
L_moverManual18:
;auto.c,168 :: 		else if (uart_rd_temp == 'r' && bandera_mover) { /* right:  */
0x02C7	0x086C      	MOVF       _uart_rd_temp, 0
0x02C8	0x3A72      	XORLW      114
0x02C9	0x1D03      	BTFSS      STATUS, 2
0x02CA	0x2AD9      	GOTO       L_moverManual22
0x02CB	0x0828      	MOVF       _bandera_mover, 0
0x02CC	0x0429      	IORWF      _bandera_mover+1, 0
0x02CD	0x1903      	BTFSC      STATUS, 2
0x02CE	0x2AD9      	GOTO       L_moverManual22
L__moverManual49:
;auto.c,169 :: 		Lcd_Out(2,6,txtAbajo);
0x02CF	0x3002      	MOVLW      2
0x02D0	0x1683      	BSF        STATUS, 5
0x02D1	0x00C2      	MOVWF      FARG_Lcd_Out_row
0x02D2	0x3006      	MOVLW      6
0x02D3	0x00C3      	MOVWF      FARG_Lcd_Out_column
0x02D4	0x302A      	MOVLW      _txtAbajo
0x02D5	0x00C4      	MOVWF      FARG_Lcd_Out_text
0x02D6	0x2138      	CALL       _Lcd_Out
;auto.c,170 :: 		girarDerecha();
0x02D7	0x2189      	CALL       _girarDerecha
;auto.c,171 :: 		avanzarVehiculo();
0x02D8	0x2182      	CALL       _avanzarVehiculo
;auto.c,172 :: 		}
L_moverManual22:
L_moverManual19:
L_moverManual15:
L_moverManual11:
;auto.c,174 :: 		}
0x02D9	0x2A8A      	GOTO       L_moverManual6
L_moverManual7:
;auto.c,175 :: 		pararVehiculo();              /* como se manda e entonces, se detiene el movimiento del auto y se sale a esperar seleccion de otro modo. */
0x02DA	0x21C0      	CALL       _pararVehiculo
;auto.c,176 :: 		Lcd_Cmd(_LCD_CLEAR);
0x02DB	0x3001      	MOVLW      1
0x02DC	0x1683      	BSF        STATUS, 5
0x02DD	0x00C7      	MOVWF      FARG_Lcd_Cmd_out_char
0x02DE	0x20C6      	CALL       _Lcd_Cmd
;auto.c,177 :: 		Lcd_Out(2,6,"Se salio de modo manual...");
0x02DF	0x3002      	MOVLW      2
0x02E0	0x1683      	BSF        STATUS, 5
0x02E1	0x00C2      	MOVWF      FARG_Lcd_Out_row
0x02E2	0x3006      	MOVLW      6
